Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2014,CA-2014-143336,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,01-09-2014,Second Class,California,Art,0,2.4824,+29.0%,2,8.56
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2014,CA-2014-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,01-09-2014,Second Class,California,Phones,0.2,16.011,+7.5%,3,213.48
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2014,CA-2014-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,01-09-2014,Second Class,California,Binders,0.2,7.384,+32.5%,4,22.72
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-2016,CA-2016-137330,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,13-12-2016,Standard Class,Nebraska,Art,0,5.0596,+26.0%,7,19.46
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-2016,CA-2016-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,13-12-2016,Standard Class,Nebraska,Appliances,0,15.6884,+26.0%,7,60.34
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,16-07-2017,US-2017-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,18-07-2017,Second Class,Pennsylvania,Chairs,0.3,-1.0196,-1.4%,2,71.372
Furniture,Orem,United States,EB-13870,Emily Burns,25-09-2015,CA-2015-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,30-09-2015,Standard Class,Utah,Tables,0,240.2649,+23.0%,3,1044.63
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2016,CA-2016-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,20-01-2016,Second Class,California,Binders,0.2,4.2224,+36.3%,2,11.648
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2016,CA-2016-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,20-01-2016,Second Class,California,Accessories,0,11.7741,+13.0%,3,90.57
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,21-09-2015,Standard Class,Pennsylvania,Bookcases,0.5,-1665.0522,-54.0%,7,3083.43
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders,0.7,-7.0532,-73.3%,2,9.618
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,21-09-2015,Standard Class,Pennsylvania,Furnishings,0.2,15.525,+12.5%,3,124.2
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,21-09-2015,Standard Class,Pennsylvania,Envelopes,0.2,1.1016,+33.8%,2,3.264
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,21-09-2015,Standard Class,Pennsylvania,Art,0.2,9.709200000,+11.3%,6,86.304
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders,0.7,-5.715,-83.3%,6,6.858
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2015,US-2015-150630,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,21-09-2015,Standard Class,Pennsylvania,Art,0.2,3.546,+22.5%,2,15.76
Office Supplies,Houston,United States,MA-17560,Matt Abelman,19-10-2017,CA-2017-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,23-10-2017,Second Class,Texas,Paper,0.2,9.9468,+33.8%,3,29.472
Technology,Richardson,United States,GH-14485,Gene Hale,08-12-2016,CA-2016-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,10-12-2016,First Class,Texas,Phones,0.2,123.4737,+11.3%,7,1097.544
Furniture,Richardson,United States,GH-14485,Gene Hale,08-12-2016,CA-2016-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,10-12-2016,First Class,Texas,Furnishings,0.6,-147.963,-77.5%,5,190.92
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,27-12-2015,CA-2015-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,31-12-2015,Standard Class,Texas,Envelopes,0.2,35.415,+31.3%,9,113.328
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2015,CA-2015-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,31-12-2015,Standard Class,Texas,Bookcases,0.32,-46.9764,-8.8%,3,532.3992
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2015,CA-2015-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,31-12-2015,Standard Class,Texas,Chairs,0.3,-15.147,-7.1%,3,212.058
Technology,Houston,United States,SN-20710,Steve Nguyen,27-12-2015,CA-2015-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,31-12-2015,Standard Class,Texas,Phones,0.2,41.7564,+11.3%,4,371.168
Technology,Naperville,United States,LC-16930,Linda Cazamias,10-09-2017,CA-2017-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,15-09-2017,Standard Class,Illinois,Phones,0.2,16.5564,+11.3%,4,147.168
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,17-07-2016,CA-2016-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,22-07-2016,Standard Class,California,Storage,0,3.894000000,+5.0%,2,77.88
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,19-09-2017,CA-2017-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,23-09-2017,Standard Class,Florida,Storage,0.2,9.561600000,+10.0%,2,95.616
Technology,Eagan,United States,ON-18715,Odella Nelson,11-03-2016,CA-2016-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,13-03-2016,First Class,Minnesota,Accessories,0,19.7714,+43.0%,2,45.98
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,11-03-2016,CA-2016-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,13-03-2016,First Class,Minnesota,Binders,0,8.2062,+47.0%,2,17.46
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,20-10-2014,CA-2014-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,25-10-2014,Second Class,Michigan,Storage,0,8.478400000,+4.0%,4,211.96
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2016,CA-2016-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,25-06-2016,Standard Class,Delaware,Accessories,0,4.95,+11.0%,3,45
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2016,CA-2016-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,25-06-2016,Standard Class,Delaware,Phones,0,6.104,+28.0%,2,21.8
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2015,CA-2015-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,22-04-2015,Standard Class,Indiana,Binders,0,17.9634,+47.0%,6,38.22
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2015,CA-2015-115742,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,22-04-2015,Standard Class,Indiana,Labels,0,35.3346,+47.0%,6,75.18
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2015,CA-2015-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,22-04-2015,Standard Class,Indiana,Furnishings,0,2.9568,+48.0%,2,6.16
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2015,CA-2015-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,22-04-2015,Standard Class,Indiana,Chairs,0,17.0981,+19.0%,1,89.99
Office Supplies,New York City,United States,JM-15265,Janet Molinari,11-12-2016,CA-2016-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,17-12-2016,Standard Class,New York,Fasteners,0,6.2566,+41.0%,7,15.26
Technology,New York City,United States,JM-15265,Janet Molinari,11-12-2016,CA-2016-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,17-12-2016,Standard Class,New York,Phones,0,298.6855,+29.0%,5,1029.95
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,18-06-2016,First Class,New York,Storage,0,52.14,+25.0%,6,208.56
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,18-06-2016,First Class,New York,Paper,0,15.552,+48.0%,5,32.4
Furniture,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,18-06-2016,First Class,New York,Chairs,0.1,7.098000000,+2.2%,5,319.41
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,18-06-2016,First Class,New York,Paper,0,6.9888,+48.0%,2,14.56
Technology,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,18-06-2016,First Class,New York,Accessories,0,3.3,+11.0%,2,30
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,18-06-2016,First Class,New York,Binders,0.2,16.362,+33.8%,4,48.48
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2016,CA-2016-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,18-06-2016,First Class,New York,Art,0,0.84,+50.0%,1,1.68
Technology,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2015,CA-2015-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,30-11-2015,Standard Class,California,Accessories,0,6.1512,+44.0%,2,13.98
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2015,CA-2015-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,30-11-2015,Standard Class,California,Binders,0.2,9.3612,+36.3%,6,25.824
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2015,CA-2015-135545,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,30-11-2015,Standard Class,California,Paper,0,68.9631,+47.0%,3,146.73
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2015,CA-2015-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,30-11-2015,Standard Class,California,Furnishings,0,22.3328,+28.0%,4,79.76
Furniture,Chicago,United States,PS-18970,Paul Stevenson,30-04-2015,US-2015-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,05-05-2015,Standard Class,Illinois,Chairs,0.3,-15.2225,-7.1%,5,213.115
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,05-12-2014,CA-2014-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,10-12-2014,Standard Class,Arizona,Art,0.2,111.3024,+10.0%,8,1113.024
Technology,Gilbert,United States,BS-11590,Brendan Sweed,05-12-2014,CA-2014-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,10-12-2014,Standard Class,Arizona,Phones,0.2,62.988,+37.5%,4,167.968
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,04-06-2016,CA-2016-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,06-06-2016,First Class,Virginia,Paper,0,35.6636,+47.0%,2,75.88
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,18-09-2016,CA-2016-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,23-09-2016,Standard Class,New York,Binders,0.2,1.731,+37.5%,1,4.616
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,14-09-2017,CA-2017-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,17-09-2017,Second Class,Michigan,Paper,0,8.763,+46.0%,3,19.05
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2015,US-2015-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,02-05-2015,Standard Class,Tennessee,Chairs,0.2,-114.3912,-13.8%,8,831.936
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2015,US-2015-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,02-05-2015,Standard Class,Tennessee,Furnishings,0.2,1.213,+1.3%,2,97.04
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,26-04-2015,US-2015-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,02-05-2015,Standard Class,Tennessee,Storage,0.2,-18.196,-25.0%,1,72.784
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-2017,US-2017-118038,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,11-12-2017,First Class,Texas,Binders,0.8,-1.9344,-155.0%,3,1.248
Furniture,Houston,United States,KB-16600,Ken Brennan,09-12-2017,US-2017-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,11-12-2017,First Class,Texas,Furnishings,0.6,-5.8248,-60.0%,3,9.708
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-2017,US-2017-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,11-12-2017,First Class,Texas,Storage,0.2,2.724,+10.0%,3,27.24
Furniture,Houston,United States,JE-15745,Joel Eaton,26-11-2014,US-2014-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,01-12-2014,Second Class,Texas,Furnishings,0.6,-14.475,-75.0%,5,19.3
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-2016,CA-2016-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,15-06-2016,First Class,Alabama,Appliances,0,56.2032,+27.0%,1,208.16
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-2016,CA-2016-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,15-06-2016,First Class,Alabama,Binders,0,8.0352,+48.0%,3,16.74
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-2014,CA-2014-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,16-10-2014,Standard Class,California,Art,0,4.172,+28.0%,5,14.9
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-2014,CA-2014-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,16-10-2014,Standard Class,California,Storage,0,6.2031,+29.0%,1,21.39
Office Supplies,Durham,United States,JC-16105,Julie Creighton,03-09-2015,CA-2015-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,08-09-2015,Standard Class,North Carolina,Envelopes,0.2,62.8075,+31.3%,7,200.984
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,13-11-2017,US-2017-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,16-11-2017,First Class,Illinois,Storage,0.2,-48.9549,-21.3%,3,230.376
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,28-05-2017,CA-2017-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,30-05-2017,Second Class,South Carolina,Chairs,0,33.2156,+11.0%,2,301.96
Technology,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2017,CA-2017-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,02-11-2017,Standard Class,Minnesota,Accessories,0,6.7966,+34.0%,1,19.99
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2017,CA-2017-155558,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,02-11-2017,Standard Class,Minnesota,Labels,0,2.9568,+48.0%,2,6.16
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,05-04-2016,CA-2016-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,89,Home Office,10-04-2016,Second Class,Texas,Storage,0.2,13.8572,+8.8%,7,158.368
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-2016,CA-2016-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,90,Corporate,22-09-2016,Standard Class,California,Art,0,6.633,+33.0%,3,20.1
Technology,Los Angeles,United States,JS-15685,Jim Sink,17-09-2016,CA-2016-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,91,Corporate,22-09-2016,Standard Class,California,Phones,0.2,8.2782,+11.3%,2,73.584
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-2016,CA-2016-109806,90036,OFF-PA-10000304,Xerox 1995,West,92,Corporate,22-09-2016,Standard Class,California,Paper,0,3.1104,+48.0%,1,6.48
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-2015,CA-2015-149587,55407,OFF-PA-10003177,Xerox 1999,Central,93,Consumer,05-02-2015,Second Class,Minnesota,Paper,0,6.2208,+48.0%,2,12.96
Furniture,Minneapolis,United States,KB-16315,Karl Braun,31-01-2015,CA-2015-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,94,Consumer,05-02-2015,Second Class,Minnesota,Furnishings,0,16.5354,+31.0%,3,53.34
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-2015,CA-2015-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,95,Consumer,05-02-2015,Second Class,Minnesota,Binders,0,16.1504,+49.0%,2,32.96
Office Supplies,Portland,United States,RB-19705,Roger Barcio,06-11-2017,US-2017-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,96,Home Office,12-11-2017,Standard Class,Oregon,Binders,0.7,-3.788,-66.7%,1,5.682
Furniture,New York City,United States,PN-18775,Parhena Norris,09-11-2017,CA-2017-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,97,Home Office,11-11-2017,Second Class,New York,Furnishings,0,40.5426,+42.0%,7,96.53
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,17-06-2017,CA-2017-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,98,Consumer,20-06-2017,First Class,California,Binders,0.2,17.9592,+35.0%,3,51.312
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,06-09-2016,CA-2016-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,99,Corporate,11-09-2016,Standard Class,Minnesota,Appliances,0,22.5852,+29.0%,6,77.88
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,29-08-2016,CA-2016-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,100,Home Office,02-09-2016,Standard Class,Illinois,Paper,0.2,22.6184,+35.0%,7,64.624
Technology,Chicago,United States,RB-19465,Rick Bensley,29-08-2016,CA-2016-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,101,Home Office,02-09-2016,Standard Class,Illinois,Accessories,0.2,-10.7973,-11.3%,3,95.976
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,29-08-2016,CA-2016-158568,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,102,Home Office,02-09-2016,Standard Class,Illinois,Binders,0.8,-3.0396,-170.0%,3,1.788
Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,01-12-2016,CA-2016-129903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,103,Consumer,04-12-2016,Second Class,Minnesota,Paper,0,11.7208,+49.0%,4,23.92
